Video_Name,Comment_count
7 Tips to Ease Separation Anxiety in Beagles,30
*1 HOUR* Impossible Try Not to Laugh Challenge #6 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,29
*1 HOUR* Impossible Try Not to Laugh Challenge #8 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,29
roadtrip w your favorite Tamil family (:,29
THIS is one of the best parts of summer ðŸ˜±âœ¨,28
the rule is to SERVE wherever you go ðŸ¥¡ðŸ’‹,28
"trader joeâ€™s haul for one person // healthy grocery list, what I eat in a week",28
is your neighbour real?,28
How to Train your Beagle to Sit on Command,28
*1 HOUR* Impossible Try Not to Laugh Challenge #2 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,28
asmr morning routine ðŸ§¸â˜•ï¸,28
90s supermodel makeup in under ten minutes ðŸ’…ðŸ¾âœ¨,28
"day in my life // castings, self-shoots, self-care day",28
Do's and Don'ts of Owning a Beagle,28
how to bake for your kitty ðŸ±âœ¨,28
Why do Beagles Yawn? (7 Reasons),28
How to Remove Ticks and Fleas from your Beagle,27
"Q+A // getting ready for fall, productivity, new podcast",26
Try on a bunch of REVOLVE clothes with me. transitional fall/winter haul â„ï¸âœ¨ðŸ¤,26
Software Engineering Resume Mistakes!,26
"glowing up so I can have a Valentine? melanin friendly makeup routine, flirty angel glam, glowy skin",26
Why Beagles are Better Than Other Dog Breeds?,26
day in my life as a content creator in LA â˜€ï¸ ðŸŒ· ðŸ’…ðŸ¾,25
"curly hair turorial: wet, mermaid look ðŸ§œâ€â™€ï¸âœ¨",25
Can You Pass The World's Hardest Java Coding Test?,25
"college day in my life // zoom class, mini revolve haul, voting, podcasting",25
9 Money Saving Tips for Beagle Parents,25
I Coded With ChatGPT To Analyze MrBeast,25
How to Teach your Beagle Puppy to 'SHAKE HANDS',24
"Q+A // bake strawberry scones with me, my love life, how I started modeling, dealing with judgement",24
"pack + prep with me for JAMAICA! Fashion Nova Haul, styling  colorful outfits, trendy 2023 swimwear",24
this is what the IDEALâœ¨girl dayâœ¨ looks like to me.,24
brown girl tries being Princess Belle for a day ðŸŒ¹ðŸ¤¨,24
Do Beagles Shed a lot?,24
haircare tips ft. my new BANGSâ€¦ ft. my go-to *easy* hairstyles,24
trying viral â€œsnatchedâ€ jumpsuits + rompers | a very honest Fashion Nova haul!,24
Woofz - A Must have App for all Dog Owners #shorts,23
How to Beagle Proof your House,23
Do Beagles Eat a Lot?,23
everybody is sad sometimes,23
Beagle vs Pomeranian - Which One is Right for You?,23
Clean Girl Makeup Look ðŸ«§,23
these are the CUTEST fall transitional outfits ðŸ‚ðŸŽƒðŸ«¶ðŸ¾,23
TOP SHOES EVERY GIRL NEEDS | summer wardrobe essentials (affordable Fashion Nova haul),23
letting my cat do my makeup.,23
life as a creator âœ¨ work trips to new york city & denver (starting my luxury travel content career),22
"how to take SLAY pics of yourself (cameras I use, lighting tricks,posing tips, editing apps & MORE!)",22
THESE are the only blushes you  need.,22
GRWM: Rare Beauty Movie Night ðŸ©·,22
"honey garlic salmon for hot girls / easy, healthy weeknight dinner idea - step by step",22
hot girls donâ€™t gatekeep âœ¨,21
"THIS is the cheat code to having a magnetic, blessed aura",21
matte red lip but make it brown girl friendly ðŸ’‹ðŸ«¶ðŸ¾ðŸ’Œ,21
how my Tamil family acts in the Caribbean âœ¨ðŸ‘€,20
Beagle vs Pitbull: Which is Better for You?,20
*1 HOUR* Impossible Try Not to Laugh Challenge #5 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,20
*1 HOUR* Impossible Try Not to Laugh Challenge #11 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,20
TRYING ON FASHION NOVA HALLOWEEN COSTUMES!! *not what I was expectingâ€¦.* ðŸŽƒ âœ¨,20
trying the SKIMS bodysuit dupe from AMAZON (PUMIEY)..... HONEST REVIEW + TRY-ON HAUL,20
10 Best Dogs for Apartment Living,19
12 Indoor Beagle Exercises (for Lazy Owners),19
How to Beagle Proof your Backyard?,19
glowing from within makeup ðŸŒŸ #melaninfriendly,19
learning java so i can get a job,19
natural soft glam routine ðŸŒ¸ #melaninfriendly #makeuptutorial,19
the wet skin look: no makeup makeup ðŸ©µ,19
the *cutest* pjs and loungewear! FashionNova try-on haul,19
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #49,18
"nyfw vlog // revolve gallery, exploring the city, content creating, visiting college friends",18
5 Reasons Why Your Dog is Itching and Scratching so much #Shorts,18
Are you living your life wrong?,18
Adopting vs Buying a Beagle: the pros and cons of both Worlds,18
Why are Beagles so Stubborn,18
WHAT I EAT IN A DAY ( Healthy NIGERIAN meal),18
why laundry sucks in nyc,18
foreign daughters continuing their parentsâ€™ traditions is the most wholesome thing ðŸ¥¹âœ¨,17
pick your fighter... ðŸ˜­âœ¨ðŸ‘»ðŸŽƒ,17
I'm Finally on Youtube! Trailer... Intro,17
try a pinterest hairstyle with me: vacation edition ðŸŒ´âœ¨,17
some CARGO PANTS INSPO for your aesthetic era. (ft. FashionNova),17
The History of BEAGLES,17
the high fiber breakfast that will keep you snatched this summer â˜€ï¸âœ¨ðŸŽ,17
one piece outfits that can be worn all year long! ðŸ¤,16
morning in my life as a content creator and model in LA âœ¨ðŸŽ€,16
How to Teach your Beagle to ROLL OVER,16
How to Deal with a Hyperactive Beagle,16
how to do your makeup like a filter,16
Cherry Eye in Beagles: What It Is & When to Seek Help?,16
9 Grooming Supplies Every Beagle Owner MUST have,16
Are beagles apartment dogs?,16
Beagle vs. Corgi: Which is Better for You?,16
6 Common Beagle Puppy Actions and What They Mean,16
7 Beagle Grooming Hacks That Save Time and Money,16
"$2000 REVOLVE try-on haul 2021 // fall + winter faves, street style inspired, holiday fits",16
*1 HOUR* Impossible Try Not to Laugh Challenge #1 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,16
Why You Should Let Your Beagle Sniff on Their Walk?,16
"Why Do Dogs Steal Socks, Shoes and Other Clothes?",15
*1 HOUR* Impossible Try Not to Laugh Challenge #10 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,15
Beagle 101 Everything you need to know about this Breed,15
Apartment Hunting in NYC Almost Killed My Roommate,15
Asking Strangers To Teach Me Anything,15
Can beagles Swim?,15
"FALL VLOG ðŸ‚ ft. MAJOR life update, fall routines & habits, birthday parties, photoshoots, and more",15
How energetic are beagles?,15
How to Punish Your Beagle The right way,15
my sunday reset routine ðŸ‰ðŸŒ±ðŸ§˜ðŸ¾â€â™€ï¸âœ¨,15
light makeup for a travel day âœˆï¸,15
Maddy Subramanian âœ¨,15
the new viral lip combo EVERY GIRL NEEDS.,15
THIS is what you should be asking your hairdresser for âœ¨ðŸ’…ðŸ¾,15
the subtle art of noticing.,14
Rose Falooda with Bobaâ€¦ The Perfect Spring Treat! ðŸ‡®ðŸ‡³ðŸŒ¹ðŸ¦ðŸŒ¸ðŸ’,14
My First Youtube Vlog - VLOG #1,14
How Your Beagleâ€™s Behavior Can Change with Age?,14
How to Teach your Beagle to not Pee in the House,14
GRWM: milky makeup look ðŸ¥›ðŸ’­âœ¨,14
"day in the life // events in LA, beach photoshoot, taking digitals",14
Are Beagles Easy to Train?,14
Beagle vs French Bulldog: Which is Better?,14
upgrade my kittyâ€™s space with me ðŸ©· @happyandpolly,14
trying Amazonâ€™s BEST skims dupe! PUMIEY try-on haul,14
Why do Beagles Dig?,13
9 Delicious Dog Treats Perfect for Summer,13
*1 HOUR* Impossible Try Not to Laugh Challenge #9 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,13
Do beagles get along with other dogs?,13
Five Minute Natural Makeup ðŸŒ¸,13
How to Teach your Beagle to Bark Less?,13
the highlight palette every brown girl NEEDSâ€¦.,13
The Ultimate Solution for Busy Dog Owners!,13
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #13,13
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #43,13
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #41,12
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #1,12
How to put your Beagle Puppy on a Healthy Sleeping Schedule?,12
how to prepare for a PHOTOSHOOT! tips from an LA modelðŸ©·,12
I LOVE THIS QUESTION âœ¨ðŸ’…ðŸ¾,12
my first hackathon be like #shorts #softwareengineer #tech #programming #coding #hackathon,12
might be the most perfect fall lip product EVER.,12
cowgirl core summer outfit inspo ðŸ¤  ðŸŒ¾ðŸ®ðŸ«¶ðŸ¾,12
Biggest Downsides of Owning a Beagle,11
brown girl tries famous LA Indian restaurant ðŸ¤”,11
"decorate with me for fall 2020! // simple, affordable, minimalist, cozy",11
How NOT to Bore Your Beagle!,11
*1 HOUR* Impossible Try Not to Laugh Challenge #12 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,11
9 Changes Beagles go through as they Age,11
8 Tips for Adopting a Rescue Beagle,11
natural cat eye glam ðŸˆâ€â¬›âœ¨,11
"preppy, old money core summer outfit inspo ðŸ›¥ï¸ âš“ï¸ ðŸ¦ž",11
huge yesstyle haul &: current asian skincare faves WITH reviews! (viral k-beauty picks!),11
what Iâ€™m reading this week! library haul ðŸ“š PART TWO,11
Why did Pocket Beagles Went Extinct?,11
what a day in the life of a content creator living in LA looks like:,10
Watch This Before Taking your Beagle Puppy OUTSIDE!,10
Our Beagle's Daily Exercise Routine,10
Natural Indian Hair Growth Mask ðŸª´âœ¨,10
Must Have TOYS to Keep your Beagle Active and Entertained,10
kiwiâ€™s kitchen: shakshouka âœ¨,10
this religion has a 9 day GIRL POWER festival?? âœ¨,10
Beagle vs. Jack Russell: Which is Better for you?,10
7 Natural Methods to Strengthen your Beagleâ€™s Immunity,10
how I got pink AirPod maxes for $12 ðŸ˜±ðŸ©·,10
"Don't Let Others Invest YOUR Money, HERE'S WHY | Personal Finance",10
Beagle vs Poodle: Which is Better for You?,10
Beagle: Pros And Cons You Must Know Before Getting One!,10
"Birthday vlog | Get ready with me for my birthday, abuja museum visit, birthday depression",9
Can Beagles have Blue Eyes?,9
Complete Beagle Puppy Training Schedule by Age,9
5 Ways to Bond with your Beagle,9
5 Potty Training Products for Beagles,9
Automating Every $0.01 Of My Software Engineer Paycheck,9
air fryer eggplant parm ðŸ† ðŸ #healthydinnerideas,9
A PRODUCTIVE WEEK IN MY LIFE + I made SMOOTHIE for the first time + New BRAIDS + What I EAT in a day,9
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #36,9
this is your sign to give quality time to YOURSELF ðŸŽ¨ðŸ¤,9
THIS is the perfect summer girlâ€™s night idea âœ¨ðŸ«¶ðŸ¾,9
THIS is an ideal fall weekend ðŸŽðŸ‚âœ¨,9
THIS girls night will solve all your problems ðŸ§–ðŸ¾â€â™€ï¸ðŸŽ€,9
"TGP Episode 9 // Spring Flowers: Finding Support, Stability, and Reassurance during Change",9
LIVING IN ABUJA VLOG + Treating malaria + organising my wardrobe + plans for 2023 + VLOG#7,9
if you have hyperpigmentation try THIS routine! ðŸš¿ðŸ§–ðŸ¾â€â™€ï¸ðŸ«§ #hyperpigmentation #showerroutine,9
Important Beagle Health Tips  #beaglepuppy #beagletales #beagles #beagle #beagleclub,9
Kendall Jenner if she had a $10 budget ðŸ¤ª,9
My mini room makeover  | Clean and re-decorate with me * pinterest inspired,9
trying NORTH CAROLINA fast food??? ðŸ¥¤ðŸ—â­ï¸,9
trying pinterest hair & getting ready for a day in Jamaica ðŸŒ´,9
Why your Beagle sometimes FORGETS it's Training and What to do?,9
Why does your Beagle Looks at you while Pooping?,8
Why Most Computer Science Students Don't Sleep Enough,8
Software Engineering Benefits That Actually Matter,8
southern fall is so elite ðŸ‚ðŸ©·,8
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #20,8
A MUST have Pet Grooming Accessory for Dogs!,8
Are Beagles good for first time owners?,8
6 Types of Dog Toys and How to USE Them?,8
@kaaviyakitchen recipe ðŸ¥§ðŸŽâœ¨,8
3 Types of Dog Training: Which Method Is Best for Your Dog?,8
10 Human Foods that are Actually Good for Beagles (Part 2),8
Beagles have White Tail for a Reason! #beagles #beagle #beaglepuppy #dogs #dog  #pet,8
How To Keep Your Beagle Cool In Summer,7
How to Keep Your Beagle Safe and Warm in Winter,7
Get the Frienhund's Dog Feeder: Link in Bio. Exclusive Discount Code: BELEEV5P #dog #dogs,7
highly recommend a spontaneous weekend to a city near you ðŸ¤ª,7
@kaaviyakitchen making a starbucks breakfast at home? easier than you think ðŸ˜‹,7
6 Ways to Keep Your Beagle Active in the Winters,7
5 Important Commands that can Save your Beagle's life!,7
5 Things to Know Before Software Engineer Recruiting,7
Are You Holding Your Dogâ€™s Leash Wrong?,7
A PRODUCTIVE day in my life,7
A Fun Fact about Beagles  #beagle #beagleclub #dog #beagles #beaglepuppy,7
a holiday lip ESSENTIAL.,7
Try Not To Laugh Challenge! Funny Pranks and Scare Cam Fails 2023 #2,7
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #42,7
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #47,7
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #48,7
SUNDAY RESET (Calm and relaxing),7
Productive week in my life | Abuja living,7
Programming magic rizz goes crazy #shorts #programming #rizz #edate #coding #magic #python #nyc,7
I went to see THOR... it was below my expectation - VLOG #2,7
How to Train Beagle to Come to you when Called?,7
I Changed my Relaxed 4C Hair to Natural - VLOG #3,7
Why itâ€™s Worth Having Your Beagle Groomed Professionally,7
Why didnâ€™t anyone tell me  #buzzcut #haircut #hairgrowth,6
